INSTNM,INSTURL,SAT_AVG,ADM_RATE,ACT_MEDIAN,GRAD_DEBT_MDN,UGDS,PCTPELL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,C200_4,COSTT4_A,CITY,STABBR,IS_PUBLIC,IS_CITY
Miller-Motte College-Arizona Automotive Institute,www.aai.edu/,NA,NA,NA,15917,513,0.7302,0.2671,0.0955,0.4503,0.0019,0.117,0.0039,0.0624,0,0.0019,NA,NA,Glendale,AZ,0,1
Brookline College-Phoenix,www.brooklinecollege.edu/,NA,NA,NA,9500,714,0.5823,0.1919,0.1218,0.3291,0.0224,0.063,0.0056,0.0084,0.0028,0.2549,0.2857,NA,Phoenix,AZ,0,1
Arizona State University Campus Immersion,www.asu.edu/,NA,0.9019,NA,19500,64398,0.2966,0.435,0.0425,0.2603,0.0908,0.0104,0.002,0.0498,0.0762,0.033,0.6755,28047,Tempe,AZ,1,1
Arizona Western College,https://www.azwestern.edu/,NA,NA,NA,4826,6198,0.3918,0.1118,0.0123,0.738,0.0087,0.0108,6e-4,0.0153,0.0176,0.0849,NA,15857,Yuma,AZ,1,1
University of Arizona,https://www.arizona.edu/,1261,0.8566,NA,19620,40769,0.2624,0.4721,0.0431,0.2762,0.0495,0.0151,0.0022,0.0498,0.0453,0.0466,0.6601,28543,Tucson,AZ,1,1
Central Arizona College,www.centralaz.edu/,NA,NA,NA,10010,4892,0.2874,0.3136,0.0542,0.4231,0.0168,0.0219,0.0057,0.0243,0.0168,0.1237,NA,9024,Coolidge,AZ,1,0
Charles of Italy Beauty College,www.charlesofitaly.edu/,NA,NA,NA,7388,88,0.5802,0.4432,0.0227,0.2159,0.0227,0.0227,0.0114,0,0,0.2614,NA,NA,Lake Havasu City,AZ,0,1
Cochise County Community College District,https://www.cochise.edu/,NA,NA,NA,6750,3007,0.3858,0.3389,0.0452,0.5101,0.0153,0.0057,0.004,0.0442,0.0269,0.0096,NA,13638,Sierra Vista,AZ,1,1
Empire Beauty School-Chandler,www.empire.edu/,NA,NA,NA,10667,98,0.5932,0.102,0.1735,0.2959,0.0204,0.051,0,0.0408,0,0.3163,NA,NA,Chandler,AZ,0,1
Avalon Institute-Mesa,avalon.edu/mesa-az/,NA,NA,NA,6332,388,0.5676,0.4021,0.1134,0.3711,0.0206,0.0155,0,0.0412,0,0.0361,NA,NA,Mesa,AZ,0,1
Eastern Arizona College,www.eac.edu/,NA,NA,NA,NA,3058,0.1721,0.5948,0.0249,0.2263,0.0082,0.068,0.0049,0.0131,0.019,0.0409,NA,16280,Thatcher,AZ,1,0
Embry-Riddle Aeronautical University-Prescott,prescott.erau.edu/,1256,0.7519,NA,23666,3245,0.174,0.5569,0.0206,0.1569,0.0666,0.0055,0.0052,0.0801,0.0851,0.0231,0.7059,60158,Prescott,AZ,0,1
Glendale Community College,www.gccaz.edu/,NA,NA,NA,6960,10180,0.2614,0.3394,0.0659,0.4528,0.0455,0.0128,0.0016,0.0485,0.0127,0.0208,NA,18056,Glendale,AZ,1,1
Grand Canyon University,www.gcu.edu/,1095,0.6036,NA,22114,68619,0.4308,0.4773,0.158,0.2424,0.0284,0.0088,0.0059,0.0471,0.0095,0.0225,0.4635,31493,Phoenix,AZ,0,1
GateWay Community College,www.gatewaycc.edu/,NA,NA,NA,6750,3473,0.2862,0.2525,0.1109,0.5189,0.0348,0.0233,0.0029,0.0403,0.0035,0.013,NA,18316,Phoenix,AZ,1,1
Mesa Community College,www.mesacc.edu/,NA,NA,NA,7473,12049,0.2006,0.4161,0.0622,0.3601,0.04,0.0331,0.0036,0.0502,0.0179,0.0168,NA,18975,Mesa,AZ,1,1
Mohave Community College,https://www.mohave.edu/,NA,NA,NA,9700,2750,0.3093,0.6022,0.0171,0.2873,0.0142,0.0138,0.004,0.0469,0,0.0145,NA,10952,Kingman,AZ,1,0
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,www.uti.edu/,NA,NA,NA,13097,567,0.392,0.5732,0.0459,0.1499,0.0088,0.0229,0.0035,0.1411,0.0018,0.0529,NA,NA,Avondale,AZ,0,1
Dine College,https://www.dinecollege.edu/,NA,NA,NA,NA,1507,0.3895,0.0033,0.0013,0,0.0013,0.9907,0,7e-4,0.0027,0,NA,13872,Tsaile,AZ,1,0
Northern Arizona University,https://nau.edu/,NA,0.9095,NA,19000,23041,0.2983,0.5443,0.0292,0.265,0.0383,0.0347,0.0023,0.0561,0.0191,0.0111,0.5993,29495,Flagstaff,AZ,1,1
Northland Pioneer College,www.npc.edu/,NA,NA,NA,NA,1024,0.1369,0.3408,0.001,0.1553,0.0127,0.3428,0.002,0.0195,0,0.126,NA,14174,Holbrook,AZ,1,0
Phoenix College,www.phoenixcollege.edu/,NA,NA,NA,6750,6952,0.2888,0.2222,0.0928,0.5718,0.0283,0.0214,0.0013,0.0335,0.0121,0.0165,NA,18033,Phoenix,AZ,1,1
Pima Community College,www.pima.edu/,NA,NA,NA,7000,13869,0.3267,0.3288,0.0516,0.5198,0.0274,0.0164,0.003,0.0331,0.0069,0.0129,NA,8916,Tucson,AZ,1,1
