INSTNM,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PCTPELL
University of Arkansas Community College-Morrilton,1538,0.368,0.632,0.7139,0.0949,0.1242,0.0078,0.0013,0,0.0527,0.0013,0.0039,0.4338
Philander Smith University,842,0.4786,0.5214,0.0439,0.7922,0.0356,0.0012,0,0.0202,0.0119,0.0772,0.0178,0.7139
Phillips Community College of the University of Arkansas,595,0.3008,0.6992,0.4017,0.5496,0.0269,0.0017,0.0034,0,0.0151,0,0.0017,0.359
Southeast Arkansas College,748,0.3837,0.6163,0.2393,0.5749,0.1537,0.0094,0.004,0.0013,0.0174,0,0,0.6292
University of Aesthetics & Cosmetology,34,0,1,0.5882,0.2647,0.0588,0,0,0,0.0294,0,0.0588,0.7708
University of Arkansas-Pulaski Technical College,3791,0.3318,0.6682,0.3574,0.4136,0.1298,0.0153,0.0047,0.0011,0.0393,0.0145,0.0243,0.5312
University of Arkansas Hope-Texarkana,697,0.2726,0.7274,0.4821,0.3329,0.1205,0.0029,0.0072,0.0072,0.0359,0.0086,0.0029,0.3754
University of Arkansas Community College Rich Mountain,475,0.3937,0.6063,0.7411,0.0147,0.1347,0.0126,0.0316,0.0042,0.0189,0.0421,0,0.38
Paul Mitchell the School-Arkansas,107,0.0467,0.9533,0.7196,0.0654,0.1495,0.0093,0.0467,0,0,0,0.0093,0.3082
Searcy Beauty College,87,0,1,0.8621,0.0805,0.0345,0,0.0115,0,0.0115,0,0,0.5096
Shorter College,290,0.4448,0.5552,0.1931,0.7552,0.0276,0.0034,0.0172,0,0,0,0.0034,0.8255
Williams Baptist University,490,0.498,0.502,0.7469,0.1245,0.0327,0.0061,0.002,0.002,0.0224,0.0633,0,0.4715
South Arkansas College,879,0.2651,0.7349,0.4869,0.3902,0.0717,0.0023,0.0023,0,0.0364,0.0068,0.0034,0.4208
Southern Arkansas University Main Campus,2865,0.4227,0.5773,0.623,0.2314,0.0565,0.0063,0.0073,0,0.0576,0.0147,0.0031,0.446
Southern Arkansas University Tech,663,0.356,0.644,0.5143,0.3861,0.0362,0.0015,0,0,0.0618,0,0,0.4051
