INSTNM,INSTURL,SAT_AVG,ADM_RATE,IS_PUBLIC,IS_CITY
Coba Academy,www.coba.edu/,NA,NA,0,1
Western University of Health Sciences,www.westernu.edu/,NA,NA,0,1
Columbia College,https://www.gocolumbia.edu/,NA,NA,1,0
California College of ASU,https://www.columbiacollege.edu/,NA,NA,0,1
Compton College,www.compton.edu/,NA,NA,1,1
Contra Costa College,https://www.contracosta.edu/,NA,NA,1,1
Cosumnes River College,https://www.crc.losrios.edu/,NA,NA,1,1
Crafton Hills College,www.craftonhills.edu/,NA,NA,1,1
Cuesta College,https://www.cuesta.edu/,NA,NA,1,0
Cuyamaca College,https://www.cuyamaca.edu/,NA,NA,1,1
Cypress College,www.cypresscollege.edu/,NA,NA,1,1
De Anza College,https://www.deanza.edu/,NA,NA,1,1
International School of Beauty Inc,https://btyschool.com/,NA,NA,0,1
College of the Desert,www.collegeofthedesert.edu/,NA,NA,1,1
Design Institute of San Diego,www.disd.edu/,NA,0.875,0,1
Dharma Realm Buddhist University,https://drbu.edu/,NA,NA,0,0
Diablo Valley College,https://www.dvc.edu/,NA,NA,1,1
Dominican University of California,https://www.dominican.edu/,1194,0.9562,0,1
Dominican School of Philosophy & Theology,https://www.dspt.edu/,NA,NA,0,1
East Los Angeles College,www.elac.edu/,NA,NA,1,1
El Camino Community College District,www.elcamino.edu/,NA,NA,1,1
Emperor's College of Traditional Oriental Medicine,www.emperors.edu/,NA,NA,0,1
Empire College,https://empcol.edu/,NA,NA,0,1
Evergreen Valley College,https://www.evc.edu/,NA,NA,1,1
FIDM-Fashion Institute of Design & Merchandising,www.fidm.edu/,NA,0.415,0,1
Feather River Community College District,www.frc.edu/,NA,NA,1,0
Federico Beauty Institute,federico.edu/,NA,NA,0,1
Fielding Graduate University,www.fielding.edu/,NA,NA,0,1
Five Branches University,www.fivebranches.edu/,NA,NA,0,1
Redondo Beach Beauty College,rbbeautycollege.com/,NA,NA,0,1
Foothill College,https://foothill.edu/,NA,NA,1,1
Franciscan School of Theology,www.fst.edu/,NA,NA,0,1
Fredrick and Charles Beauty College,www.fandcbeauty.com/,NA,NA,0,0
Fresno City College,www.fresnocitycollege.edu/,NA,NA,1,1
Fresno Pacific University,www.fresno.edu/,NA,0.5752,0,1
Fuller Theological Seminary,www.fuller.edu/,NA,NA,0,1
Fullerton College,www.fullcoll.edu/,NA,NA,1,1
Gavilan College,https://www.gavilan.edu/,NA,NA,1,0
Gemological Institute of America-Carlsbad,www.gia.edu/gem-education,NA,NA,0,1
Glendale Community College,https://www.glendale.edu/,NA,NA,1,1
Glendale Career College,www.success.edu/,NA,NA,0,1
Golden Gate University,www.ggu.edu/,NA,NA,0,1
Golden West College,www.goldenwestcollege.edu/,NA,NA,1,1
Graduate Theological Union,www.gtu.edu/,NA,NA,0,1
Grossmont College,https://www.grossmont.edu/,NA,NA,1,1
Salon Success Academy-Riverside,www.salonsuccessacademy.com/,NA,NA,0,1
Hartnell College,www.hartnell.edu/,NA,NA,1,1
Harvey Mudd College,https://www.hmc.edu/,1537,0.1306,0,1
